"doeblin_diebeidenfreundinnenundihrgiftmord" "doeblin_dieermordungeinerbutterblumeundandereerzählungen" "doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten" "hesse_diesseitserzählungen" "hesse_knulpdreigeschichtenausdemlebenknulps" "hesse_märchen" "hesse_nachbarnerzählungen" "hesse_schönistdiejugendzweierzählungen" "hesse_umwegeerzählungen" "kafka_beschreibungeineskampfes" "kafka_dasschloß" "kafka_dasurteil" "kafka_derbau" "kafka_derprozess" "kafka_derverschollene" "kafka_dieverwandlung" "kafka_forschungeineshundes" "kafka_Hungerkünstler" "kafka_inderstrafkolonie" "kafkaAmt_Arbeiter-VersicherungUnternehmer154" "kafkaAmt_Brief132" "kafkaAmt_BriefandenVorstand133" "kafkaAmt_KriegslageGefahrenklassen281" "kafkaAmt_RedeAmtseinsetzungdesDirektors121" "kafkaAmt_UnfallverhuetungErsteHilfe267" "mannH_dieehrgeizigenovelle" "mannH_dietoteundanderenovellen" "mannH_flötenunddolchenovellen" "mannT_derkleineherrfriedemannnovellen" "mannT_dertodinvenedig" "mannT_gladiusdeischwerestunde" "mannT_toniokröger" "walser_derspaziergang" "walser_dieschlachtbeisempach" "walser_geschichten" "walser_kleinedichtungen"
"machen" 0.600919052668788 0.258823529411765 0.389436534014847 0.329050454403008 0.562130177514793 0.136830102622577 0.503223777323479 0.383304940374787 0.503778337531486 0.629590766002099 0.553213909378293 0.816326530612245 0.476190476190476 0.574480951421084 0.812235375442841 0.875729774812344 0.547778454047474 1.00250626566416 0.583515681983953 1.12781954887218 0 0 1.23762376237624 0 2.25988700564972 0.819672131147541 0.0744047619047619 0.48717115946736 0.574412532637076 0.235215053763441 0.95440084835631 0.526910048927362 1.29745314752523 0.72463768115942 0.769865273577124 0.554756523525786
"sagen" 0.282785436550018 0.188235294117647 0.279907508823171 0.940144155437167 0.650887573964497 0.387685290763968 0.440320805158044 0.55366269165247 0.390428211586902 0.891920251836306 0.667369160519845 0.612244897959184 0.340136054421769 0.695424309614997 0.535729715717619 0.500417014178482 0.365185636031649 0.25062656641604 0.364697301239971 1.12781954887218 0 0 0 0 0 0.273224043715847 0.520833333333333 0.292302695680416 0.522193211488251 0.235215053763441 0.212089077412513 0.489273616861122 1.24939932724652 0 0.659884520208963 0.92459420587631
"machte" 0.706963591375044 0.517647058823529 0.498965559206523 0.799122532121592 0.650887573964497 0.273660205245154 0.817738638150653 0.55366269165247 0.780856423173804 0.472193074501574 0.298559887600984 0.408163265306122 0.0680272108843537 0.463616206409998 0.544370517584032 0.79232693911593 0.852099817407182 0.50125313283208 0.291757840991977 0 0 0 0.495049504950495 0 0 0.819672131147541 0.297619047619048 0.454693082169536 0.496083550913838 0.30241935483871 0.424178154825027 0.451637184794881 0.288322921672273 1.08695652173913 0.219961506736321 0.719128826792685
"gab" 0.919052668787557 0.235294117647059 0.255567725447244 0.673769978063303 0.769230769230769 0.775370581527936 1.05362478377103 0.681431005110733 0.780856423173804 0.524658971668416 0.324903407095188 0.204081632653061 0.204081632653061 0.372908687764564 0.475244102652726 0.417014178482068 0.121728545343883 1.00250626566416 0.291757840991977 1.12781954887218 0 0 0 0 0.282485875706215 0.819672131147541 0.223214285714286 0.32478077297824 0.339425587467363 0.436827956989247 0.212089077412513 0.301091456529921 0.480538202787122 1.08695652173913 0.714874896893044 0.390384220258886
"nahm" 0.63626723223754 0.776470588235294 0.535475234270415 0.658100908806017 0.680473372781065 0.729760547320411 0.786287152067935 1.0221465076661 0.881612090680101 0.419727177334732 0.430277485072006 0 0.0680272108843537 0.362830074581738 0.380195282122181 0.333611342785655 0.0608642726719416 0.50125313283208 0.291757840991977 0 0 0 0 0 0.282485875706215 0.819672131147541 0.297619047619048 0.32478077297824 0.678851174934726 0.30241935483871 0.31813361611877 0.602182913059842 0.288322921672273 0 0.192466318394281 0.143825765358537
"sehen" 0.141392718275009 0.352941176470588 0.498965559206523 0.642431839548731 0.443786982248521 0.638540478905359 0.581852492530272 0.724020442930153 0.617128463476071 0.157397691500525 0.544432736213558 0 0.54421768707483 0.302358395484781 0.449321697053487 0.667222685571309 0.304321363359708 0.50125313283208 0.729394602479942 0 0 0 0.247524752475248 0 0 0.273224043715847 0.297619047619048 0.292302695680416 0.548302872062663 0.369623655913978 0.31813361611877 0.677455777192322 0.480538202787122 0.36231884057971 0.852350838603244 0.472570371892336
"lassen" 0.600919052668788 0.470588235294118 0.486795667518559 0.250705108116578 0.591715976331361 0.182440136830103 0.36169208995125 0.468483816013629 0.579345088161209 0.419727177334732 0.67615033368458 0.816326530612245 0.54421768707483 0.58455956460391 0.682623347446643 0.834028356964137 0.730371272063299 0.25062656641604 0.364697301239971 0 0 0 0 0 0.282485875706215 0.819672131147541 0.297619047619048 0.227346541084768 0.31331592689295 0.537634408602151 0.212089077412513 0.188182160331201 0.480538202787122 0 0.467418201814682 0.308198068625437
"hat" 0.247437256981265 0.164705882352941 0.377266642326883 0.376057662174867 1.12426035502959 0.296465222348917 0.283063374744457 0.340715502555366 0.226700251889169 0.314795383001049 0.728837372672989 0.612244897959184 1.02040816326531 0.48377343277565 0.501166508251966 0.0417014178482068 0.547778454047474 0 0.583515681983953 0.75187969924812 0 0 0.742574257425743 5.45454545454545 0.282485875706215 0.273224043715847 0.595238095238095 0.454693082169536 0.4177545691906 0.235215053763441 0.424178154825027 0.451637184794881 0.432484382508409 0 1.42974979378609 0.780768440517773
"lag" 0.459526334393779 0.847058823529412 0.401606425702811 0.877467878408023 0.443786982248521 0.820980615735462 0.314514860827174 0.766609880749574 0.491183879093199 0.629590766002099 0.280997541271514 0 0.0680272108843537 0.312437008667607 0.293787263458049 0.625521267723103 0.182592818015825 0.75187969924812 0 0.37593984962406 0 0 0 0 0 0.273224043715847 0.446428571428571 0.584605391360831 0.887728459530026 0.403225806451613 0.424178154825027 0.376364320662401 0.336376741950985 1.08695652173913 0.302447071762442 0.76022190260941
"hielt" 0.247437256981265 0.658823529411765 0.486795667518559 0.454403008461297 0.384615384615385 0.478905359179019 0.660481207737066 0.596252129471891 0.629722921914358 0.629590766002099 0.272216368106779 1.22448979591837 0 0.352751461398912 0.527088913851205 0.625521267723103 0.365185636031649 0.75187969924812 0.291757840991977 0 0 0 0 0 0 0.819672131147541 0.967261904761905 0.32478077297824 0.600522193211488 0.336021505376344 0.95440084835631 0.715092209258562 0.0961076405574243 0.36231884057971 0.0274951883420401 0.143825765358537
