"doeblin_diebeidenfreundinnenundihrgiftmord" "doeblin_dieermordungeinerbutterblumeundandereerzählungen" "doeblin_dielobensteinerreisennachböhmenzwölfnovellenundgeschichten" "hesse_diesseitserzählungen" "hesse_knulpdreigeschichtenausdemlebenknulps" "hesse_märchen" "hesse_nachbarnerzählungen" "hesse_schönistdiejugendzweierzählungen" "hesse_umwegeerzählungen" "kafka_beschreibungeineskampfes" "kafka_dasschloß" "kafka_dasurteil" "kafka_derbau" "kafka_derprozess" "kafka_derverschollene" "kafka_dieverwandlung" "kafka_forschungeineshundes" "kafka_Hungerkünstler" "kafka_inderstrafkolonie" "kafkaAmt_Arbeiter-VersicherungUnternehmer154" "kafkaAmt_Brief132" "kafkaAmt_BriefandenVorstand133" "kafkaAmt_KriegslageGefahrenklassen281" "kafkaAmt_RedeAmtseinsetzungdesDirektors121" "kafkaAmt_UnfallverhuetungErsteHilfe267" "mannH_dieehrgeizigenovelle" "mannH_dietoteundanderenovellen" "mannH_flötenunddolchenovellen" "mannT_derkleineherrfriedemannnovellen" "mannT_dertodinvenedig" "mannT_gladiusdeischwerestunde" "mannT_toniokröger" "walser_derspaziergang" "walser_dieschlachtbeisempach" "walser_geschichten" "walser_kleinedichtungen"
"hände" 0 0.577435593722239 0.307780402261828 0.164383561643836 0.204406086759028 0.195165891007356 0.120943358193913 0.249861188228762 0.109673173941654 0.990952175786299 0.106312292358804 0 0 0.198125428636745 0.330231161813269 0.307692307692308 0 0.163398692810458 0.623052959501558 0 0 0 0.0886524822695035 0 0 0.0925069380203515 0.114351057747284 0.255576208178439 0.261096605744125 0.185967878275571 0.385038503850385 0.252409362092703 0.031496062992126 0.393700787401575 0.285714285714286 0.0672766415500538
"herrn" 0.0411946446961895 0.37015102161682 0.157469043017679 0.131506849315068 0.0454235748353395 0.0450382825401591 0.231808103204999 0 0.204723258024421 0 0.445182724252492 0 0 0.175264802255582 0.53437406184329 0.13986013986014 0 0 0.0519210799584631 0 0 0 0 0 0.0699300699300699 0.185013876040703 0.400228702115495 0 0.554830287206266 0 0.495049504950495 0.229463056447912 0.15748031496063 0.196850393700787 0.100840336134454 0.0538213132400431
"abend" 0.102986611740474 0.236896653834765 0.0930498890559015 0.46027397260274 0.363388598682716 0.270229695240955 0.221729490022173 0.194336479733481 0.475250420413833 0.689358035329599 0.112956810631229 0 0 0.0838222967309304 0.204142900030021 0.251748251748252 0 0 0 0 0 0 0 0 0 0.0925069380203515 0.571755288736421 0.232342007434944 0.195822454308094 0.118343195266272 0 0.137677833868747 0.031496062992126 0.196850393700787 0.0504201680672269 0.34983853606028
"tage" 0.308959835221421 0.251702694699437 0.229045880752988 0.241095890410959 0.317965023847377 0.255216934394235 0.362830074581738 0.471960022209883 0.38751188126051 0.2154243860405 0.13953488372093 0 0.15600624024961 0.0609616703497676 0.0960672470729511 0.167832167832168 0.0508130081300813 1.1437908496732 0.103842159916926 0 0 0 0 0 0 0.185013876040703 0.28587764436821 0.185873605947955 0.342689295039165 0.236686390532544 0.055005500550055 0.160624139513538 0.031496062992126 0.590551181102362 0.0840336134453782 0.0672766415500538
"weg" 0.247167868177137 0.222090612970092 0.128838307923556 0.219178082191781 0.272541449012037 0.300255216934394 0.171336424108043 0.194336479733481 0.212034802953864 0.3015941404567 0.365448504983389 0 0.46801872074883 0.182885011049303 0.186130291203843 0.13986013986014 0.203252032520325 0.326797385620915 0.0519210799584631 0 0 0 0 0 0 0.0925069380203515 0.0571755288736421 0.20910780669145 0.163185378590078 0.169061707523246 0.055005500550055 0.160624139513538 0.31496062992126 0 0.0840336134453782 0.255651237890204
"ende" 0.288362512873326 0.177672490376073 0.121680624150025 0.284931506849315 0.363388598682716 0.165140369313917 0.342672848216085 0.0555247084952804 0.263215617459969 0.1292546316243 0.12624584717608 0 0.208008320332813 0.274327516573954 0.162113479435605 0.111888111888112 0.0508130081300813 0.163398692810458 0.259605399792316 0.132100396301189 0 0 0 0 0 0 0.28587764436821 0.20910780669145 0.359007832898172 0.135249366018597 0.22002200220022 0.137677833868747 0.188976377952756 0.393700787401575 0.151260504201681 0.0941872981700753
"blick" 0.0205973223480947 0.384957062481492 0.121680624150025 0.23013698630137 0.136270724506019 0.315267977781114 0.141100584559565 0.111049416990561 0.138919353659428 0.0430848772081 0.352159468438538 0.139664804469274 0.208008320332813 0.167644593461861 0.120084058841189 0.167832167832168 0.254065040650407 0.163398692810458 0.311526479750779 0.132100396301189 1.42857142857143 0 0 0 0 0.0925069380203515 0.628930817610063 0.20910780669145 0.456919060052219 0.253592561284869 0.495049504950495 0.18357044515833 0.062992125984252 0 0.0840336134453782 0.107642626480086
"frieda" 0 0 0 0 0 0 0 0 0 0 2.28571428571429 0.279329608938547 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sache" 0.0617919670442842 0.0592241634586911 0.24336124830005 0.131506849315068 0.0454235748353395 0.0300255216934394 0.120943358193913 0.111049416990561 0.292461797177744 0.1723395088324 0.345514950166113 0.279329608938547 0.208008320332813 0.48007315400442 0.300210147102972 0.027972027972028 0.203252032520325 0.326797385620915 0.103842159916926 0.264200792602378 0 0 0 0 0 0 0.28587764436821 0.0697026022304833 0.0815926892950392 0.0338123415046492 0.165016501650165 0.298301973382285 0.031496062992126 0 0.100840336134454 0.0672766415500538
"boden" 0.0617919670442842 0.355344980752147 0.300622718488297 0.208219178082192 0.136270724506019 0.225191412700796 0.0403144527313042 0.138811771238201 0.0877385391533231 0.2585092632486 0.079734219269103 0 0.364014560582423 0.106682923112093 0.21014710297208 0.475524475524476 0.965447154471545 0.163398692810458 0.207684319833853 0 0 0 0 0 0 0.0925069380203515 0.114351057747284 0.20910780669145 0.359007832898172 0.118343195266272 0.165016501650165 0.137677833868747 0.15748031496063 0.984251968503937 0.252100840336134 0.201829924650161
